feature,psi,status,reference_mean,production_mean
brightness,9.451614252543319,DRIFT,163.25488586120605,176.55988808531896
contrast,7.704746769232343,DRIFT,107.5369568233164,113.62716744372214
sharpness,9.122250845648367,DRIFT,4169.819428174576,4670.834946500347
width,0.0,ESTABLE,640.0,468.8888888888889
height,0.0,ESTABLE,640.0,469.1111111111111
